[Sat May 30 21:26:50 2015] [notice] Apache/2.2.21 (Win32) PHP/5.3.9 configured -- resuming normal operations
[Sat May 30 21:26:50 2015] [notice] Server built: Sep 10 2011 11:34:11
[Sat May 30 21:26:50 2015] [notice] Parent: Created child process 7804
[Sat May 30 21:26:51 2015] [notice] Child 7804: Child process is running
[Sat May 30 21:26:51 2015] [notice] Child 7804: Acquired the start mutex.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting 64 worker threads.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting thread to listen on port 8080.
[Sun May 31 14:52:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:52:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:52:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:53:00 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:56:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:56:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:56:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:56:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:02 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:02 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:02 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:02 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:13 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:13 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:57:13 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:44 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:44 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:44 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:44 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:01:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
